timestamp,demand_mw,renewable_generation_mw,solar_mw,wind_mw,battery_power_mw,soc_percent,soh_percent,cycle_count,frequency_hz,voltage_kv,price_usd_mwh,battery_temperature_c,peak_period,load_spike,instability_event,net_load_mw
2026-01-01T00:00:00,476.356,113.998,0.0,113.998,0,58.0,99.152,22.0,60.038,13.8444,106.714,25.353,0,0,0,362.358
2026-01-01T00:15:00,488.715,121.681,0.0,121.681,0,58.0,99.152,22.0,60.0158,13.8406,109.897,28.512,0,0,0,367.034
2026-01-01T00:30:00,477.491,118.434,0.0,118.434,0,58.0,99.152,22.0,60.0505,13.8506,105.381,27.539,0,0,0,359.057
2026-01-01T00:45:00,501.6,144.079,0.0,144.079,0,58.0,99.152,22.0,60.0534,13.8563,105.724,25.647,0,0,0,357.521
2026-01-01T01:00:00,486.208,98.795,0.0,98.795,0,58.0,99.152,22.0,60.0128,13.8557,111.389,26.677,0,0,0,387.413
2026-01-01T01:15:00,475.992,133.463,0.0,133.463,0,58.0,99.152,22.0,60.0524,13.9205,101.115,27.794,0,0,0,342.529
2026-01-01T01:30:00,461.871,103.282,0.0,103.282,0,58.0,99.152,22.0,60.0609,13.8579,108.569,27.919,0,0,0,358.588
2026-01-01T01:45:00,462.649,90.814,0.0,90.814,0,58.0,99.152,22.0,60.0226,13.873,112.342,27.192,0,0,0,371.834
2026-01-01T02:00:00,485.015,114.585,0.0,114.585,0,58.0,99.152,22.0,60.0239,13.8781,112.486,26.376,0,0,0,370.429
2026-01-01T02:15:00,473.759,153.733,0.0,153.733,0,58.0,99.152,22.0,60.0601,13.9188,102.26,30.742,0,0,0,320.025
2026-01-01T02:30:00,493.397,145.559,0.0,145.559,0,58.0,99.152,22.0,60.0664,13.8769,108.224,27.419,0,0,0,347.838
2026-01-01T02:45:00,478.44,125.591,0.0,125.591,0,58.0,99.152,22.0,60.0345,13.8538,102.446,26.8,0,0,0,352.849
2026-01-01T03:00:00,439.993,142.219,0.0,142.219,0,58.0,99.152,22.0,60.1179,13.9059,93.09,26.997,0,0,0,297.773
2026-01-01T03:15:00,465.371,106.921,0.0,106.921,0,58.0,99.152,22.0,60.0347,13.862,99.786,26.532,0,0,0,358.45
2026-01-01T03:30:00,517.818,133.309,0.0,133.309,0,58.0,99.152,22.0,60.0446,13.7476,110.723,27.355,0,0,0,384.509
2026-01-01T03:45:00,477.497,127.974,0.0,127.974,0,58.0,99.152,22.0,60.0295,13.8648,108.057,27.902,0,0,0,349.523
2026-01-01T04:00:00,476.491,133.181,0.0,133.181,0,58.0,99.152,22.0,60.0743,13.883,104.84,27.906,0,0,0,343.31
2026-01-01T04:15:00,481.465,124.97,0.0,124.97,0,58.0,99.152,22.0,60.0383,13.8822,103.71,26.581,0,0,0,356.495
2026-01-01T04:30:00,497.992,168.316,0.0,168.316,0,58.0,99.152,22.0,60.0619,13.9289,101.79,28.631,0,0,0,329.676
2026-01-01T04:45:00,481.577,114.52,0.0,114.52,0,58.0,99.152,22.0,60.0109,13.8692,108.731,27.462,0,0,0,367.057
2026-01-01T05:00:00,499.916,93.516,0.0,93.516,0,58.0,99.152,22.0,60.0033,13.7644,112.171,27.575,0,0,0,406.399
2026-01-01T05:15:00,492.963,128.576,0.0,128.576,0,58.0,99.152,22.0,60.0449,13.8099,111.424,26.448,0,0,0,364.387
2026-01-01T05:30:00,545.671,120.389,0.0,120.389,0,58.0,99.152,22.0,59.9661,13.7649,119.953,26.46,0,0,0,425.282
2026-01-01T05:45:00,536.736,126.097,0.0,126.097,0,58.0,99.152,22.0,59.9509,13.8366,116.851,25.816,0,0,0,410.639
2026-01-01T06:00:00,505.561,106.526,0.0,106.526,0,58.0,99.152,22.0,59.972,13.7819,118.988,26.717,0,0,0,399.036
2026-01-01T06:15:00,520.709,105.069,1.264,103.805,0,58.0,99.152,22.0,59.9962,13.8322,118.4,26.89,0,0,0,415.639
2026-01-01T06:30:00,545.379,128.334,4.355,123.979,0,58.0,99.152,22.0,59.9647,13.8034,112.46,26.144,0,0,0,417.044
2026-01-01T06:45:00,561.943,115.188,8.579,106.608,0,58.0,99.152,22.0,59.9554,13.7672,117.681,28.0,0,0,0,446.755
2026-01-01T07:00:00,574.9,140.812,21.064,119.748,0,58.0,99.152,22.0,59.967,13.8531,122.617,27.338,0,0,0,434.088
2026-01-01T07:15:00,576.457,122.925,28.217,94.708,0,58.0,99.152,22.0,60.1206,12.9644,122.052,25.551,0,0,1,453.532
2026-01-01T07:30:00,578.716,126.295,24.54,101.756,0,58.0,99.152,22.0,59.9328,13.6776,120.423,26.712,0,0,0,452.421
2026-01-01T07:45:00,566.835,142.111,50.236,91.876,0,58.0,99.152,22.0,59.8061,14.3996,119.45,26.602,0,0,1,424.724
2026-01-01T08:00:00,587.555,171.531,51.864,119.668,0,58.0,99.152,22.0,59.9827,13.7521,124.236,28.713,0,0,0,416.024
2026-01-01T08:15:00,566.721,161.578,43.98,117.598,0,58.0,99.152,22.0,60.0007,13.7901,108.789,28.923,0,0,0,405.143
2026-01-01T08:30:00,571.651,142.134,72.431,69.703,0,58.0,99.152,22.0,59.9748,13.6531,126.934,24.897,0,0,0,429.517
2026-01-01T08:45:00,596.336,201.032,76.088,124.944,0,58.0,99.152,22.0,60.0077,13.7616,117.059,29.258,0,0,0,395.304
2026-01-01T09:00:00,579.148,177.804,100.844,76.96,0,58.0,99.152,22.0,59.9871,13.8035,113.41,27.208,0,0,0,401.343
2026-01-01T09:15:00,561.103,203.775,84.092,119.683,0,58.0,99.152,22.0,60.0351,13.8808,104.159,26.063,0,0,0,357.328
2026-01-01T09:30:00,564.824,238.223,131.714,106.51,0,58.0,99.152,22.0,60.0724,13.8857,100.326,27.227,0,0,0,326.601
2026-01-01T09:45:00,577.972,192.666,108.266,84.4,0,58.0,99.152,22.0,60.0214,13.8198,112.327,25.853,0,0,0,385.306
2026-01-01T10:00:00,572.569,217.206,128.919,88.287,0,58.0,99.152,22.0,60.0653,13.84,108.084,25.428,0,0,0,355.363
2026-01-01T10:15:00,532.716,245.765,144.93,100.834,0,58.0,99.152,22.0,60.1134,13.9381,92.583,26.514,0,0,0,286.951
2026-01-01T10:30:00,554.362,222.465,116.801,105.664,0,58.0,99.152,22.0,60.0578,13.8743,99.752,26.076,0,0,0,331.896
2026-01-01T10:45:00,538.527,220.538,123.378,97.16,0,58.0,99.152,22.0,60.0612,13.9667,100.455,25.535,0,0,0,317.988
2026-01-01T11:00:00,533.736,245.965,174.458,71.507,0,58.0,99.152,22.0,60.0825,13.9147,92.028,26.245,0,0,0,287.771
2026-01-01T11:15:00,572.134,253.152,185.5,67.652,0,58.0,99.152,22.0,60.0935,13.9153,100.156,27.27,0,0,0,318.982
2026-01-01T11:30:00,528.246,262.336,180.725,81.612,0,58.0,99.152,22.0,60.1305,14.056,86.85,27.74,0,0,0,265.91
2026-01-01T11:45:00,581.422,171.942,135.685,36.257,0,58.0,99.152,22.0,59.9695,13.7985,117.765,25.4,0,0,0,409.48
2026-01-01T12:00:00,566.583,239.627,165.692,73.935,0,58.0,99.152,22.0,60.0627,13.8609,97.594,26.652,0,0,0,326.956
2026-01-01T12:15:00,574.236,208.758,157.065,51.693,0,58.0,99.152,22.0,60.0008,13.875,112.083,28.841,0,0,0,365.478
2026-01-01T12:30:00,557.467,233.719,136.106,97.613,0,58.0,99.152,22.0,60.0664,13.9549,94.396,27.642,0,0,0,323.748
2026-01-01T12:45:00,571.71,193.337,125.724,67.613,0,58.0,99.152,22.0,60.0086,13.8765,111.037,28.11,0,0,0,378.372
2026-01-01T13:00:00,573.512,236.765,193.176,43.589,0,58.0,99.152,22.0,60.0355,13.8714,110.8,27.278,0,0,0,336.748
2026-01-01T13:15:00,563.12,255.936,177.259,78.677,0,58.0,99.152,22.0,60.0907,13.8478,90.964,26.574,0,0,0,307.184
2026-01-01T13:30:00,567.983,237.767,156.204,81.564,0,58.0,99.152,22.0,60.0811,13.8196,103.351,25.315,0,0,0,330.216
2026-01-01T13:45:00,539.758,196.697,148.06,48.637,0,58.0,99.152,22.0,60.056,13.8643,107.408,27.586,0,0,0,343.061
2026-01-01T14:00:00,569.294,232.24,155.539,76.702,0,58.0,99.152,22.0,60.0234,13.9348,100.933,29.661,0,0,0,337.054
2026-01-01T14:15:00,581.736,150.029,99.879,50.15,0,58.0,99.152,22.0,59.9774,13.7553,128.833,28.154,0,0,0,431.708
2026-01-01T14:30:00,598.448,140.82,108.117,32.702,0,58.0,99.152,22.0,59.9375,13.7211,131.688,28.76,0,0,0,457.629
2026-01-01T14:45:00,559.595,140.657,116.38,24.277,0,58.0,99.152,22.0,59.9475,13.7225,119.19,27.814,0,0,0,418.938
2026-01-01T15:00:00,611.04,119.878,74.476,45.402,0,58.0,99.152,22.0,59.9238,13.7327,124.099,25.866,0,0,0,491.162
2026-01-01T15:15:00,593.014,106.167,83.239,22.928,0,58.0,99.152,22.0,59.9226,13.6553,134.403,27.346,0,0,0,486.847
2026-01-01T15:30:00,628.398,125.261,67.295,57.966,0,58.0,99.152,22.0,59.9023,13.6518,127.101,28.766,0,0,0,503.137
2026-01-01T15:45:00,596.296,127.262,74.52,52.742,0,58.0,99.152,22.0,59.9524,13.6429,127.116,25.785,0,0,0,469.034
2026-01-01T16:00:00,628.149,152.582,48.661,103.92,0,58.0,99.152,22.0,59.9278,13.6512,127.618,25.571,0,0,0,475.567
2026-01-01T16:15:00,626.615,113.475,34.959,78.516,0,58.0,99.152,22.0,59.9206,13.5911,133.367,28.456,0,0,0,513.14
2026-01-01T16:30:00,647.15,105.411,32.813,72.598,0,58.0,99.152,22.0,59.8749,13.5397,139.789,28.248,0,0,0,541.74
